Date,Name,Retail Price,Used Price
01-01-20,GeForce RTX 3070,500,315
01-01-20,GeForce RTX 3070,499,416
01-01-20,GeForce RTX 3070,499,378
01-01-20,GeForce RTX 3070,499,354
01-01-20,GeForce RTX 3070,499,277
01-01-20,GeForce RTX 3070,499,277
01-02-20,GeForce RTX 3070,499,260
01-02-20,GeForce RTX 3070,499,401
01-02-20,GeForce RTX 3070,499,355
01-02-20,GeForce RTX 3070,499,373
01-02-20,GeForce RTX 3070,499,253
01-03-20,GeForce RTX 3070,499,419
01-03-20,GeForce RTX 3070,499,395
01-03-20,GeForce RTX 3070,499,287
01-03-20,GeForce RTX 3070,499,281
01-03-20,GeForce RTX 3070,499,281
01-04-20,GeForce RTX 3070,499,303
01-04-20,GeForce RTX 3070,499,341
01-04-20,GeForce RTX 3070,499,325
01-04-20,GeForce RTX 3070,499,300
01-04-20,GeForce RTX 3070,499,356
01-05-20,GeForce RTX 3070,499,274
01-05-20,GeForce RTX 3070,499,300
01-05-20,GeForce RTX 3070,499,313
01-05-20,GeForce RTX 3070,499,329
01-05-20,GeForce RTX 3070,499,387
01-06-20,GeForce RTX 3070,499,284
01-06-20,GeForce RTX 3070,499,339
01-06-20,GeForce RTX 3070,499,353
01-06-20,GeForce RTX 3070,499,257
01-06-20,GeForce RTX 3070,499,355
01-07-20,GeForce RTX 3070,499,279
01-07-20,GeForce RTX 3070,499,261
01-07-20,GeForce RTX 3070,499,415
01-07-20,GeForce RTX 3070,499,418
01-07-20,GeForce RTX 3070,499,391
01-08-20,GeForce RTX 3070,499,302
01-08-20,GeForce RTX 3070,499,266
01-08-20,GeForce RTX 3070,499,369
01-08-20,GeForce RTX 3070,499,326
01-08-20,GeForce RTX 3070,499,271
01-09-20,GeForce RTX 3070,499,336
01-09-20,GeForce RTX 3070,499,255
01-09-20,GeForce RTX 3070,499,408
01-09-20,GeForce RTX 3070,499,294
01-09-20,GeForce RTX 3070,499,365
01-10-20,GeForce RTX 3070,499,304
01-10-20,GeForce RTX 3070,499,340
01-10-20,GeForce RTX 3070,499,345
01-10-20,GeForce RTX 3070,499,281
01-10-20,GeForce RTX 3070,499,419
01-11-20,GeForce RTX 3070,499,385
01-11-20,GeForce RTX 3070,499,413
01-11-20,GeForce RTX 3070,499,405
01-11-20,GeForce RTX 3070,499,354
01-11-20,GeForce RTX 3070,499,410
01-12-20,GeForce RTX 3070,499,265
01-12-20,GeForce RTX 3070,499,283
01-12-20,GeForce RTX 3070,499,257
01-12-20,GeForce RTX 3070,499,306
01-12-20,GeForce RTX 3070,499,317
01-13-20,GeForce RTX 3070,499,296
01-13-20,GeForce RTX 3070,499,394
01-13-20,GeForce RTX 3070,499,311
01-13-20,GeForce RTX 3070,499,298
01-13-20,GeForce RTX 3070,499,344
01-14-20,GeForce RTX 3070,499,274
01-14-20,GeForce RTX 3070,498,389
01-14-20,GeForce RTX 3070,498,262
01-14-20,GeForce RTX 3070,498,421
01-14-20,GeForce RTX 3070,498,384
01-15-20,GeForce RTX 3070,498,284
01-15-20,GeForce RTX 3070,498,250
01-15-20,GeForce RTX 3070,498,391
01-15-20,GeForce RTX 3070,498,372
01-15-20,GeForce RTX 3070,498,376
01-16-20,GeForce RTX 3070,498,384
01-16-20,GeForce RTX 3070,498,262
01-16-20,GeForce RTX 3070,498,311
01-16-20,GeForce RTX 3070,498,269
01-16-20,GeForce RTX 3070,498,400
01-17-20,GeForce RTX 3070,498,358
01-17-20,GeForce RTX 3070,498,307
01-17-20,GeForce RTX 3070,498,260
01-17-20,GeForce RTX 3070,498,303
01-17-20,GeForce RTX 3070,498,306
01-18-20,GeForce RTX 3070,498,376
01-18-20,GeForce RTX 3070,498,360
01-18-20,GeForce RTX 3070,498,404
01-18-20,GeForce RTX 3070,498,331
01-18-20,GeForce RTX 3070,498,270
01-19-20,GeForce RTX 3070,498,373
01-19-20,GeForce RTX 3070,498,382
01-19-20,GeForce RTX 3070,498,347
01-19-20,GeForce RTX 3070,498,383
01-19-20,GeForce RTX 3070,498,335
01-19-20,GeForce RTX 3070,498,340
01-20-20,GeForce RTX 3070,498,323
01-20-20,GeForce RTX 3070,498,253
01-20-20,GeForce RTX 3070,498,268
01-20-20,GeForce RTX 3070,498,254
01-20-20,GeForce RTX 3070,498,360
01-21-20,GeForce RTX 3070,498,304
01-21-20,GeForce RTX 3070,498,337
01-21-20,GeForce RTX 3070,498,407
01-21-20,GeForce RTX 3070,498,292
01-21-20,GeForce RTX 3070,498,320
01-22-20,GeForce RTX 3070,498,380
01-22-20,GeForce RTX 3070,498,289
01-22-20,GeForce RTX 3070,498,262
01-22-20,GeForce RTX 3070,498,299
01-22-20,GeForce RTX 3070,498,277
01-23-20,GeForce RTX 3070,498,411
01-23-20,GeForce RTX 3070,498,390
01-23-20,GeForce RTX 3070,498,359
01-23-20,GeForce RTX 3070,498,401
01-23-20,GeForce RTX 3070,498,389
01-24-20,GeForce RTX 3070,498,281
01-24-20,GeForce RTX 3070,498,404
01-24-20,GeForce RTX 3070,498,343
01-24-20,GeForce RTX 3070,498,389
01-24-20,GeForce RTX 3070,498,405
01-25-20,GeForce RTX 3070,498,304
01-25-20,GeForce RTX 3070,498,268
01-25-20,GeForce RTX 3070,498,288
01-25-20,GeForce RTX 3070,498,323
01-25-20,GeForce RTX 3070,498,391
01-26-20,GeForce RTX 3070,498,399
01-26-20,GeForce RTX 3070,498,250
01-26-20,GeForce RTX 3070,498,338
01-26-20,GeForce RTX 3070,498,321
01-26-20,GeForce RTX 3070,498,287
01-27-20,GeForce RTX 3070,498,269
01-27-20,GeForce RTX 3070,498,307
01-27-20,GeForce RTX 3070,497,413
01-27-20,GeForce RTX 3070,497,305
01-27-20,GeForce RTX 3070,497,339
01-28-20,GeForce RTX 3070,497,371
01-28-20,GeForce RTX 3070,497,312
01-28-20,GeForce RTX 3070,497,418
01-28-20,GeForce RTX 3070,497,416
01-28-20,GeForce RTX 3070,497,292
01-29-20,GeForce RTX 3070,497,335
01-29-20,GeForce RTX 3070,497,301
01-29-20,GeForce RTX 3070,497,298
01-29-20,GeForce RTX 3070,497,255
01-29-20,GeForce RTX 3070,497,355
01-30-20,GeForce RTX 3070,497,336
01-30-20,GeForce RTX 3070,497,257
01-30-20,GeForce RTX 3070,497,297
